image	bicycle	bird	bottle	car	chair	diningtable	dog	person	pottedplant	sofa	
00010032	0.482737	-1.716546	-1.379626	-1.019672	-0.710963	-1.547420	-1.316170	-0.984328	-2.087288	-1.818418	
00010033	1.418096	-2.547722	-1.461396	-0.652136	-1.589738	-2.927571	-2.687135	2.420439	-1.395980	-2.593706	
00010034	-1.505300	-1.478841	-1.113677	-1.631338	-0.821303	-1.439911	0.994423	0.179858	-1.268386	-0.329739	
00010035	-1.219090	-0.919160	-1.342937	-0.270557	-1.358083	-1.594290	-1.743871	0.160469	-1.987255	-2.189410	
00010036	0.548824	-2.038258	-1.101414	-1.473962	-1.381177	-1.107995	-2.130039	0.192374	-1.380036	-2.175967	
00010037	1.908070	-3.598134	-0.821692	-0.828273	-0.934463	-1.523573	-1.850943	0.062654	-0.751529	-2.813364	
00010038	-0.830134	-0.639600	-1.277682	-2.139909	-0.978412	-1.127907	-0.304605	-0.235670	-1.080718	1.592765	
00010039	-1.731130	-0.949499	-1.122006	-1.895232	-1.358753	-1.754409	-0.279420	-0.453177	-1.484946	-1.791321	
00010040	-3.432330	1.157507	-1.452205	-4.512580	-1.481421	-1.023518	-0.993358	-2.094376	-1.083218	-0.876175	
00010041	-0.884810	-0.641101	-0.919715	-1.096923	-0.897841	-1.069802	-1.031182	1.720695	-0.863781	-1.278901	
00010042	-1.163430	-2.751831	-1.257480	-1.246040	-0.482859	-0.702401	-0.629772	2.791996	-1.340183	-0.069657	
00010043	-0.458715	0.387912	-2.618965	-0.885272	-0.498691	-0.751421	-1.686930	-1.029441	-0.940119	-1.267242	
00010044	-1.225256	-0.584871	-0.880839	-1.357948	-0.474045	-1.301051	-0.061105	-0.545903	-0.634657	-1.038443	
00010045	-1.675078	-1.483847	-1.275081	-2.199253	-0.923443	-1.983136	-0.876117	1.350218	-1.310063	-2.370852	
00010046	-1.507718	-1.137486	1.324875	-1.421346	-1.002134	-1.552807	-1.071202	-1.728106	-1.099239	-0.357696	
00010047	-2.426345	-1.939547	-2.099306	-1.252991	-1.430492	-1.645639	1.024237	-0.869026	-1.339141	-0.993728	
00010048	-0.770594	-0.900117	-0.840553	-1.079391	-0.332159	-0.890848	-0.320792	-0.708804	-0.900532	-0.711715	
00010049	-0.671762	-0.530670	-1.100315	-1.386756	-0.836525	-0.860643	-0.384661	-0.523759	-0.699313	-0.259048	
00010050	-0.757673	-1.978915	-0.761240	-0.870846	-0.421876	-0.562409	-1.430366	2.665457	-1.332688	-0.653579	
00010051	-1.596195	-1.232972	-0.652149	-1.454009	0.063065	-0.788761	-1.339006	-0.503020	-0.653423	-0.172834	
00010052	-1.770836	-1.473379	-3.324610	2.221138	-1.841081	-2.171739	-1.683380	-0.327262	-1.248155	-1.423401	
00010053	-1.231375	-1.363493	-0.774286	-1.425691	-0.662821	-1.172898	-1.321097	2.222193	-1.021293	-1.208907	
00010054	-1.957802	-1.056908	-0.799534	-0.740307	-0.881763	-1.450461	-3.284043	4.960787	0.021295	-1.822352	
00010055	-1.485170	-1.290284	-0.997802	-1.140799	-0.943077	-1.132119	-0.625359	1.129238	-1.024124	-0.670691	
00010056	-0.803919	-1.299587	-0.719497	-0.758624	-0.598531	-0.730906	-1.312276	1.844656	-0.871865	-0.569968	
00010057	-1.496584	-1.453807	-0.544887	-1.121465	-0.197058	-1.367859	-1.072341	1.198935	-0.926293	-0.944951	
00010058	-1.631956	-1.956802	-0.715193	-1.027767	-1.088107	-1.436799	-1.507893	2.514315	-1.439552	-0.917601	
00010059	-1.200970	-1.071790	-0.358005	-0.688908	-1.153654	-1.189811	-0.942611	2.122291	-1.079185	-0.751828	
00010060	-1.511847	-1.526967	-1.506009	-0.969131	-1.250838	-1.748216	0.597512	-0.403873	-1.797279	-1.230869	
00010061	-1.220682	-1.540348	-0.722170	-1.474444	-0.792719	-2.222060	-0.492776	1.179279	-1.159886	-0.938678	
00010062	-0.552299	-2.432020	-1.221234	-0.752189	-0.753202	-1.053822	-0.686109	2.081520	-0.459940	-0.987118	
00010063	-0.474319	-1.775784	-1.205915	-1.125524	-1.610236	-1.440189	-2.159112	1.927713	-0.882702	-0.897657	
00010064	-1.306558	-1.463579	-0.767269	-1.027460	-0.923799	-1.311785	-0.465945	1.573698	-1.126640	-0.854387	
00010065	-1.151425	-0.831673	-1.082621	-1.676621	-1.444284	-1.318183	-0.627400	1.913233	-1.402751	-1.446951	
00010066	-1.070512	-1.120096	-1.098785	0.146077	-0.985848	-1.094438	-1.249705	-0.236881	-1.327710	-1.220647	
00010067	1.855881	-3.125764	-0.907716	-0.712449	-1.598978	-1.754461	-2.695702	2.103028	-1.541287	-2.591835	
00010068	-1.681840	-2.225816	-0.802531	-0.731063	-0.798621	-1.476459	2.921604	-1.087380	-1.430127	-1.546674	
00010069	-0.347462	-0.319793	0.242211	-1.150113	-0.504411	-0.552512	-0.626720	0.520021	-1.320237	-0.740477	
00010070	-3.537864	-2.946882	-0.913359	-2.015857	0.176365	0.191682	0.262230	0.185166	0.090793	-0.723220	
00010071	-1.189614	-1.689575	-3.432118	-0.310761	-2.364429	-2.383048	-2.584083	0.842087	-1.127356	-4.454242	
00010072	-0.814430	-1.975970	-1.116581	2.625710	-0.860672	-2.080134	-1.336896	-0.502446	-1.391013	-1.919461	
00010073	-1.515582	-1.076076	-1.401589	-2.945585	-0.969055	-1.281692	2.679492	-0.383207	-1.170050	-0.560386	
00010074	-0.876272	-1.705759	-0.631417	-1.821276	-0.583604	-0.326358	-1.217608	1.030798	-0.892545	-2.065672	
00010075	-1.056257	-1.414086	-0.330835	-1.234293	-0.022482	-0.319667	-1.014352	0.905547	-0.688874	-0.354446	
00010076	-1.106057	-0.625428	-0.779726	-1.022157	-0.672157	-0.570351	-0.894731	1.716518	-0.882385	-0.927463	
00010077	-0.879961	-2.456703	-1.414693	0.230026	-2.593825	-1.103766	-2.380708	2.639189	-2.307823	-1.995074	
00010078	-1.134265	-1.453337	0.098623	-0.902147	-0.597450	-1.056308	-1.124065	-1.035539	0.199181	-0.658403	
00010079	-2.041877	-0.597083	-1.249704	-0.516861	-0.885938	-1.878519	-2.427797	0.280935	-1.281602	-1.617983	
00010080	-2.531845	-1.739434	-1.338871	-1.452904	-1.474005	-0.882373	-3.712901	4.303531	-0.875429	-1.160618	
00010081	-1.925062	-2.952569	-2.663225	2.564019	-2.772118	-2.059533	-1.775493	-0.653581	-2.021400	-2.456961	
00010082	-0.739693	-1.688412	-0.439910	-0.761534	0.496108	-0.349445	-1.301513	-0.387178	-1.254881	-0.291712	
00010083	-2.462676	-1.205936	-1.075255	0.020573	-1.993757	-2.837314	0.008678	-2.374408	-1.397160	-2.294202	
00010084	-1.420182	-1.464111	-0.579969	-1.251372	1.196686	-1.335430	-1.408920	-1.099243	-0.870956	-1.053407	
00010085	-1.624760	-1.349209	-1.167376	-1.097138	-1.196394	-1.526277	0.130304	0.473196	-0.845309	-0.782287	
00010086	-1.225877	-4.176753	-3.740764	-0.860902	-0.848730	-2.373491	1.454631	-0.662359	-1.428364	-0.675960	
00010087	-1.502393	-0.908591	-1.133451	-1.595962	-0.178992	-0.546360	-1.227401	0.535801	-0.704292	-0.603666	
00010088	-0.923474	-1.977662	-1.167700	3.518261	-1.179249	-2.629660	-1.459429	-0.766866	-1.013608	-2.241899	
00010089	-1.833189	0.945457	-1.460597	-1.611281	-1.542686	-1.157344	-0.455219	-1.286259	-1.418687	-1.032344	
00010090	-1.849612	-3.083664	-2.062784	-1.026877	-0.633542	-1.630701	0.720493	-0.239719	-1.240210	-0.912994	
00010091	-1.672501	-0.807101	-1.138891	-1.025147	-0.386101	0.188205	-0.384977	1.134587	-1.249029	-0.545617	
00010092	-1.612653	-1.638801	-0.729732	-1.403720	-0.949701	-1.193479	-1.864908	1.818124	-1.303061	-1.155690	
00010093	-0.404835	-1.560627	-1.036008	-1.078230	-0.731814	-1.706871	-1.018104	0.148742	-1.286388	-1.283141	
00010094	-2.191425	-1.714474	-0.788001	-1.226763	-1.696410	-1.413476	-1.392411	2.307962	-1.226001	-0.615641	
00010095	-1.786412	-1.968921	-1.126308	-1.216049	-1.171926	-1.383107	1.301798	-0.338492	-1.354014	-1.073357	
00010096	-0.891126	-2.464423	-3.397127	-1.009288	-2.680083	-2.903882	-2.398967	1.841827	-1.008004	-2.788281	
00010097	-1.438331	-2.624484	-1.156649	-1.098027	-1.465625	-1.339908	2.581197	-1.481346	-1.477000	-0.602277	
00010098	-1.398746	-1.308651	-0.777461	-0.468536	-1.140861	-1.760303	-1.616544	-0.308025	-0.634601	-0.414758	
00010099	-1.938936	-1.395400	-0.026071	-0.975829	-0.838820	-0.364799	-1.571763	2.069535	-1.124424	-1.040339	
00010100	-1.395246	-2.045885	-1.954378	2.284040	-1.350789	-2.153200	-1.657197	-0.617786	-1.372178	-2.026103	
00010101	-1.524874	-2.664825	-2.016524	1.551749	-2.519304	-1.783788	-1.746119	-0.532777	-1.764458	-2.650395	
00010102	-1.289071	-2.088415	-1.149385	1.236200	-1.873458	-0.778322	-1.548306	-0.144312	-1.161927	-2.038292	
00010103	-1.052515	-1.674044	-0.806530	-1.058081	-0.468579	-1.029543	-1.254331	-0.887566	0.044828	-1.156034	
00010104	-2.106738	-2.281066	-1.309967	-1.275906	-1.013084	-0.669255	2.581064	-0.814049	-1.431958	-1.070460	
00010105	-1.160717	-1.720934	-1.733175	2.346206	-1.185553	-2.113555	-1.599949	-0.195628	-1.152642	-1.891426	
00010106	-1.199804	-1.006584	-0.934731	-1.115323	-0.183839	-1.095584	-1.063285	-0.447692	-0.242477	-0.508948	
00010107	-1.512179	-1.721271	-1.867311	1.364218	-0.860581	-2.205537	-0.739650	-0.748731	-1.027503	-1.670253	
00010108	-0.574253	-2.079644	-1.388143	-0.759505	-1.080718	-1.412574	-0.257262	0.505649	-1.227044	-1.203328	
00010109	-1.186263	-1.001894	-1.564762	-1.648678	-0.938100	-1.098573	0.424345	-0.809006	-1.516005	-0.736817	
00010110	-1.126931	-2.150163	-1.741944	0.617189	-1.210794	-1.674340	-1.451644	-0.552763	-1.013113	-1.736482	
00010111	-1.952987	2.941425	-1.242438	-1.608472	-2.071946	-1.498020	-1.520480	-3.332205	-1.419799	-1.379654	
00010112	-1.374551	-0.239157	-1.022149	-1.153986	-0.793569	-1.801309	-0.689627	0.124562	-0.611747	-0.999185	
00010113	-1.744223	-2.035928	-0.448365	-0.966617	-0.244820	-1.241451	-1.187240	0.430299	-0.469676	-0.788240	
00010114	-2.774508	-1.834073	3.564939	-2.493646	-1.369561	-1.284182	-1.064643	-1.398399	-2.626155	-1.824376	
00010115	-2.117966	-0.908856	-1.343286	-0.480172	-1.748739	-2.093390	-1.761263	0.762014	-2.278720	-1.620320	
00010116	-0.537603	-1.128535	-0.901016	-0.145728	-0.865802	-0.963516	-1.104464	0.830198	-0.846427	-1.056855	
00010117	-1.192255	-0.900256	-0.761960	-0.446563	-0.148747	-1.456861	-0.998501	0.911092	-0.910623	-0.925642	
00010118	-0.938110	0.254178	-1.014389	-1.376011	-1.312416	-1.182017	-1.086629	-1.141050	-0.052930	-1.381017	
00010119	-0.942418	-0.648613	-0.821515	-0.962037	-0.585356	-0.944661	-1.344731	-0.444953	-1.113681	-1.076899	
00010120	-1.569769	-2.055768	-0.866968	-0.952265	-0.693072	-1.091344	-0.886602	2.549729	-1.417002	-0.428690	
00010121	-1.063564	-0.874593	-1.261004	-0.445633	0.111727	-0.915253	-0.992837	0.041381	-0.387277	0.295616	
00010122	-1.365546	-1.866577	-1.780740	-0.940200	-1.198505	-1.957498	-1.325014	1.072450	-0.938783	-2.296927	
00010123	-1.198150	-1.123296	-0.425549	-1.342426	-0.660497	-1.299653	-0.383630	0.417090	-0.974615	-1.005822	
00010124	-1.675689	-2.315032	-2.235592	-1.290872	-1.904526	-1.679804	3.063341	-0.430437	-1.093853	-2.025629	
00010125	-1.050026	-1.753108	-1.688822	-0.589188	-1.212723	-0.751945	-1.419663	-2.101896	1.609256	-0.008978	
00010126	-0.805320	-1.598573	-0.306179	-1.715608	0.074671	-0.661315	-1.394378	0.313507	0.107758	-0.081504	
00010127	-0.576166	-0.717601	-1.004935	-0.745311	-1.003602	-1.266799	-1.180200	-0.455355	-1.412789	-1.455200	
00010128	-1.585340	-1.159445	-0.828222	-1.570897	-0.913667	-1.514427	-1.358411	2.565679	-0.589182	-0.772521	
00010129	-2.012971	-1.673925	-0.101575	-1.436936	-0.416373	-0.152897	-1.642838	2.201473	-0.787341	-1.196218	
00010130	-1.139207	-1.468976	-1.094740	0.183228	-1.760557	-1.641532	-2.086561	0.225120	-2.083858	-1.719631	
00010131	-1.763217	-1.147116	-0.642149	-1.185666	-0.598407	-0.233107	-0.787653	3.026903	-0.837734	-0.199330	
00010132	-1.345840	-1.235747	-2.183666	-0.972888	-2.032197	-1.218359	-0.045315	-0.237542	-2.316515	-2.124334	
00010133	-0.758730	0.122423	-1.172704	-1.288054	-1.232114	-0.797214	-0.495021	-0.866422	-0.043866	-0.948148	
00010134	-1.495029	-2.445546	-2.072398	1.796284	-2.242947	-1.726633	-1.719764	-0.426655	-1.579486	-2.623992	
00010135	-1.889450	-1.275926	-0.735207	-1.044586	-0.564889	-0.463968	-0.907293	1.549863	-0.813360	-0.899170	
00010136	-1.322168	3.443164	-1.271302	-1.640535	-2.721454	-2.103971	-1.672410	-1.484071	-1.688149	-1.546177	
00010137	-1.691387	-1.916601	-1.193082	-0.723004	-0.579816	-0.632604	0.143621	-2.018192	0.200962	-0.625430	
00010138	-1.337099	-1.189666	-1.144576	-0.056393	-2.967955	-1.640817	-1.946093	0.659426	-1.396815	-2.807314	
00010139	-1.594625	-2.252064	-1.892713	-0.871008	-0.740579	-1.658333	3.113895	-1.176165	-1.703442	-1.219262	
00010140	-1.861133	-1.796523	-1.654358	1.300511	-2.256276	-1.987360	-1.521081	-0.026445	-1.885975	-1.272959	
00010141	-1.622395	-1.324539	0.097295	-1.207843	-0.115908	0.375367	-1.518879	1.957494	-0.766063	-0.700788	
00010142	-0.572277	-2.381520	-0.799656	-0.892027	-0.755437	-0.661487	-0.918953	1.507237	-0.749184	-0.877898	
00010143	-0.446034	1.255225	-0.897039	-0.366417	-1.152145	-1.428387	-1.379286	-0.530948	-2.036829	-1.881724	
00010144	-1.456732	-2.266560	-1.018537	-1.151328	-0.561191	-1.050140	-1.149070	3.317785	-0.821364	-1.089611	
00010145	-1.102881	-1.173911	-0.997292	-1.071454	-0.421801	-0.998794	-0.842637	1.304488	-1.126748	-0.618988	
00010146	-1.145046	-1.786039	-0.275438	-1.156664	0.262035	-0.150439	-1.144402	0.015405	-0.434897	-1.283983	
00010147	-1.239742	-2.201667	-1.905240	-0.904975	-2.266507	-1.522137	-1.594365	1.284537	-1.996819	-2.424799	
00010148	-1.236486	-1.332514	-1.230679	-1.045717	0.222362	-0.934776	-1.219744	0.117015	-0.945763	-0.561386	
00010149	-1.466626	-0.938846	-0.161026	-1.009050	-1.781030	-1.310698	-0.720841	-0.711114	-0.984422	-0.820489	
00010150	2.378289	-3.251457	-0.979019	-0.791117	-1.791919	-2.863685	-1.665581	1.165642	-1.278069	-2.869487	
00010151	-1.498599	-1.476244	-0.647249	-0.715472	-0.728600	-0.863395	-1.156698	1.668707	-1.231904	-0.912988	
00010152	-1.233941	-1.484101	-0.987425	-0.152013	-1.052376	-1.475509	-0.996064	1.178295	-1.492929	-1.210313	
00010153	-1.029174	-1.366471	-0.502124	-1.595771	1.568330	0.919192	-1.797426	-1.638862	-0.498797	-0.844084	
00010154	-1.656627	0.234306	-1.199997	-0.838552	-1.902543	-1.614456	1.417827	-2.884541	-3.541315	-1.102552	
00010155	-1.168797	-2.072039	-0.820766	-0.970323	-1.994303	-1.131370	-1.856479	1.515058	-1.151793	-1.932251	
00010156	-1.567829	-1.733766	-1.733875	1.332141	-2.041740	-1.687255	-1.083160	-0.600510	-1.415448	-1.882626	
00010157	-0.654062	-1.152000	-0.907851	-0.971490	-0.939950	-1.071916	-1.238376	0.275985	-1.300884	-1.153332	
00010158	-0.416316	-1.829106	-1.608860	-0.520972	-1.335674	-1.612115	-1.243187	0.781431	-0.896057	-1.616074	
00010159	-1.845992	-1.800475	0.068772	-1.936481	-0.492306	0.909741	-0.948497	1.037203	-1.283711	-0.631413	
00010160	-1.005141	-1.926618	-1.504149	-0.419222	-1.303912	-0.942413	-0.949295	0.160530	-0.720639	-1.705132	
00010161	-1.246074	2.905313	-2.084621	-1.700736	-1.503644	-1.258063	-2.800654	-0.925337	-1.098905	-1.117842	
00010162	-1.330291	-1.649372	-0.524586	-1.008787	-0.393090	-0.920738	-1.720770	2.031725	-0.800870	-0.670572	
00010163	-1.150252	-1.735430	-1.568052	0.496768	-1.508100	-1.127448	-1.308226	-0.359348	-1.335572	-2.220289	
00010164	-0.612714	-1.118820	-1.426054	0.544376	-0.705752	-2.922995	-0.449621	-0.330568	-0.955252	-1.344102	
00010165	-1.301260	-1.889190	-0.606748	-0.897554	-0.686127	-1.089712	-0.923678	2.770300	-1.266490	-0.314860	
00010166	-1.542542	-1.601740	-0.785688	-1.104651	-0.732501	-1.505843	-1.763986	2.683447	-1.023186	-0.992212	
00010167	-1.000036	-0.894376	-0.953105	-0.826603	-1.172500	-1.449339	-0.812209	1.205852	-1.470152	-1.026722	
00010168	-1.211725	-1.345244	-0.607279	-0.898048	-0.657695	-0.363982	-0.936353	1.575877	-0.825606	-0.846966	
00010169	-1.418495	-1.472386	-1.805281	-1.838215	-0.764530	-2.041369	1.246155	0.068929	-1.432942	-0.578938	
00010170	-1.415155	-2.533488	-1.915382	0.527548	-1.887568	-1.995841	-1.472075	0.014674	-1.364218	-2.979143	
00010171	-0.566232	2.245924	-2.359410	0.207572	-1.143181	-1.318726	-1.685212	-1.229190	-1.171845	-0.684266	
00010172	-1.216900	-2.096020	-2.402481	-0.318443	-1.312494	-2.151223	-1.536440	0.123185	-0.886470	-2.781635	
00010173	-1.921834	-1.977469	-1.416729	-1.909055	-1.343879	-1.534749	1.578576	-0.579631	-1.146723	-0.937527	
00010174	-0.992468	-0.224176	-1.481456	-1.648654	-1.245060	-1.556388	-0.521371	-1.620440	-1.021207	-1.505266	
00010175	-1.058622	-1.381465	-0.013822	-1.035994	-0.983692	-0.730566	-1.592475	4.252894	-0.979836	-0.624345	
00010176	-1.251028	-1.672163	-0.728709	-0.953820	-0.236822	-1.201951	-1.140866	0.137288	-0.893357	-0.425792	
00010177	-0.945147	-0.886937	-0.991896	-0.628787	-0.519698	-1.339907	-1.166439	0.096574	-1.167760	-1.167550	
00010178	-0.713962	-1.535952	-1.776473	0.033618	-0.832926	-1.603505	-1.399898	0.015445	-0.569521	-2.727230	
00010179	-2.215152	-1.555223	-0.916776	-1.411650	-0.876020	-1.284123	-1.466277	0.064951	-1.045753	0.389724	
00010180	-1.470555	-1.589882	-1.082655	-1.168243	-0.748831	-1.028735	0.218393	-0.265359	-1.086662	-0.746544	
00010181	-2.042347	-2.551491	-2.515955	-1.595437	-0.938019	-1.515890	2.149065	-0.888621	-1.032036	-0.792686	
00010182	-0.025316	-2.889236	-2.524689	-0.741774	-2.612238	-2.922379	-2.426173	3.357820	-2.075701	-1.919890	
00010183	-2.090228	-2.858661	-1.967005	2.858370	-2.831893	-1.394540	-1.735997	-0.503167	-1.012573	-1.357661	
00010184	-0.988697	-2.377216	-0.307386	-0.760720	-0.612984	-2.126751	-1.253573	0.353628	-0.990221	-0.591634	
00010185	-0.895742	-1.420148	-0.717079	-1.199821	0.147799	-0.354011	-1.005798	-0.181622	-0.679070	-0.333202	
00010186	-1.401732	-1.323162	-0.391117	-0.945007	-0.975334	-1.398225	-0.920422	2.413576	-0.974541	-0.862689	
00010187	-2.024676	-2.540020	-2.283610	1.981553	-1.958231	-3.028948	-1.649190	-0.068853	-1.401916	-1.234798	
00010188	-2.598180	0.538486	-1.428987	-3.895837	-1.656771	-1.361917	-1.296848	-0.643906	-1.017750	-1.301299	
00010189	-0.013477	-1.599850	-0.869412	-0.323525	-1.218058	-1.400108	-1.148514	1.595823	-1.540469	-1.609658	
00010190	-1.541228	-1.402203	-1.484409	0.094598	-1.320154	-1.597353	-1.956754	0.332071	-1.509501	-1.848928	
00010191	-0.877384	0.162809	-1.415521	-1.112272	-1.841917	-1.250382	-1.836775	0.110531	-1.316404	-1.700411	
00010192	-1.276975	0.381814	-2.084703	-0.983357	-1.892711	-1.021720	0.184691	-0.448038	-0.898383	-1.763016	
00010193	2.595219	-3.060299	-1.105164	-0.631804	-0.933768	-1.801259	-1.645494	-0.815954	-1.108200	-2.924451	
00010194	-1.777875	-0.531269	-1.607723	-2.336839	-1.102410	-1.140044	-0.000083	0.143907	-1.225820	-1.251726	
00010195	-1.701058	0.145841	-0.951944	-1.610868	-1.885792	-1.436720	0.260865	-0.537134	-1.349629	-1.220613	
00010196	-1.280523	-2.058324	-0.449193	-0.766505	-0.177883	-0.667460	-0.709372	1.481052	-1.000897	-0.715808	
00010197	-1.594341	-1.137784	2.548516	-1.201976	-2.090560	-0.981425	-0.756482	-0.635905	-1.451099	-1.542699	
00010198	-1.686845	-1.227024	-1.443789	0.530275	-1.654228	-1.689113	-2.281454	0.149566	-2.440953	-2.309668	
00010199	-1.580337	-1.263876	-0.519602	-1.384724	-0.150497	-0.674016	-1.417651	-0.519797	-0.322727	-0.227237	
00010200	-0.951857	-1.372918	-1.265693	-1.117448	-0.154662	-0.350578	-1.276524	0.039350	-1.164783	-0.764750	
00010201	-1.087519	-1.360471	-0.699975	-0.650022	-0.342822	-0.628112	-0.893028	4.578274	-1.006823	-1.182654	
00010202	-1.259674	-0.951698	-0.961948	-1.372241	0.415069	-0.824360	-1.125144	-0.895251	-0.651524	-0.573159	
00010203	-0.784504	-0.126454	-1.230544	-0.143254	-0.445521	-1.090646	-1.398771	0.306667	0.566452	-2.086653	
00010204	-1.061096	1.038825	-1.526345	-1.728795	-1.668775	-2.480462	-1.505670	-0.939797	-0.958094	-0.734478	
00010205	-1.366046	0.141460	-0.975991	-1.138252	-0.428334	-1.196293	-1.078019	-0.490258	0.065467	-1.238893	
00010206	-1.091448	-1.885140	-1.326540	-0.227654	-0.194430	-1.285235	-1.169506	-0.275804	-0.887417	-1.084211	
00010207	-0.893365	-2.867961	-1.398273	-0.404109	-0.915460	-1.577805	-1.613538	0.418877	-0.819611	-1.792540	
00010208	-2.048187	-1.731856	-4.551508	-1.047363	1.987275	-0.496231	-0.749077	2.370069	-0.471161	0.992897	
00010209	-0.594734	-1.559424	-0.925276	-0.191574	-0.414843	-0.411833	-1.367867	-0.642316	-0.363387	-1.171983	
00010210	-0.960677	-1.411751	-1.131120	-1.804838	-1.016412	-1.237024	1.822126	-0.906737	-0.909046	-1.901400	
00010211	-1.470088	-1.833801	-0.697231	-0.945033	-1.038498	-1.321076	-1.416293	3.144688	-1.105265	-0.888955	
00010212	-0.243327	-2.026213	-1.561549	-0.459881	-1.160895	-1.631208	-2.130760	0.647391	-1.704431	-2.064855	
00010213	0.335659	-2.281677	-0.648185	-0.926627	-1.250124	-2.202631	-1.224736	2.898517	-1.184206	-1.986012	
00010214	-1.103792	-2.041631	-1.200690	-0.115671	-1.295375	-1.411798	-1.455004	0.461570	-1.399802	-1.404472	
00010215	-1.371989	-2.012642	-3.682854	-0.419852	-1.423425	-2.438243	-1.485650	0.769804	-0.723001	-4.306334	
00010216	-0.524452	-0.088821	-1.482996	0.757825	-2.596315	-0.803879	-0.907099	-1.580958	-0.978421	-1.019350	
00010217	-1.123126	-1.678406	-2.329437	0.566137	-1.917006	-1.277635	-0.928352	0.147300	-1.599510	-1.807455	
00010218	-0.721654	-1.814231	-2.973830	0.816692	-1.210608	-1.587309	-1.660477	-0.113986	-0.694232	-1.120341	
